acc_1,acc_2,acc_3,tacc,av_1,av_2,av_3,tav
7.1939,0.77883,6.5164,0,-0.16124,-0.01721,0.012886,0.076051
7.1854,0.31375,6.6254,0.099,-0.10436,-0.01619,0.013622,0.17531
7.255,0.2639,6.4142,0.198,-0.10076,-0.0067501,0.0094753,0.27448
7.1897,0.20328,6.5653,0.298,-0.090059,0.010311,0.0065247,0.37379
7.1454,0.15553,6.7689,0.397,-0.04165,0.0077125,0.0040015,0.47294
7.1548,0.24594,6.6823,0.496,-0.014649,0.0031497,0.0037834,0.57221
7.1614,0.1925,6.7119,0.595,0.011448,0.0031753,0.01206,0.6714
7.143,0.38695,6.6743,0.694,0.042704,-0.003667,0.0057965,0.77062
7.2268,0.22453,6.4956,0.794,0.010988,-0.0034053,0.014767,0.86987
7.178,0.54038,6.6484,0.893,-0.0067868,0.009935,0.0081752,0.96809
7.1425,0.13667,6.7572,0.992,0.0055231,-0.0010152,0.010773,1.0672
7.1906,0.3368,6.5492,1.091,0.044268,-0.0046796,0.024464,1.1665
7.1631,0.44727,6.7373,1.19,-0.11932,-0.02036,0.014293,1.2656
7.2123,0.60055,6.3574,1.29,0.11616,0.023669,0.021117,1.3648
6.9857,0.54591,7.0972,1.389,-0.029103,0.003886,0.013688,1.464
7.0301,1.424,6.7601,1.488,-0.038869,-0.0033531,-0.16015,1.5632
7.08,2.2307,6.4802,1.587,-0.29647,0.0078902,-0.24795,1.6623
7.5205,0.5513,6.6546,1.686,-0.28709,-0.018328,-0.26852,1.7615
7.3142,0.42167,6.6842,1.786,-0.13078,-0.0052279,-0.24941,1.8607
7.2589,-0.17678,6.5802,1.885,-0.32258,-0.019438,-0.205,1.9598
7.1285,0.83377,6.4158,1.984,-0.26533,-0.020481,-0.19395,2.059
7.2451,0.13846,6.5938,2.083,-0.27204,-0.044549,-0.18092,2.1582
7.2837,-0.28276,7.2605,2.183,-0.28184,-0.0051553,-0.060145,2.2573
7.2313,-0.86296,6.92,2.282,0.2154,0.022479,0.03359,2.3565
7.1574,0.92223,6.74,2.381,0.15871,-0.0058896,0.048351,2.4556
7.197,0.98675,6.2001,2.48,-0.26281,0.0053213,0.014062,2.5548
7.1071,0.43664,6.8553,2.579,0.15901,0.033497,0.04359,2.6539
7.2196,1.1358,6.9426,2.679,-0.31491,-0.057872,0.00053686,2.7531
8.1013,-0.58409,6.0848,2.778,0.078798,-0.018171,-0.043055,2.8522
7.0071,0.44173,6.6879,2.877,0.19424,0.003881,-0.05581,2.9513
6.8718,-0.52481,7.2023,2.976,0.15866,0.012896,0.057177,3.0505
6.7248,-1.5223,6.7147,3.075,0.16772,0.083025,0.21279,3.1496
6.5402,-0.40251,6.6842,3.175,0.069768,0.0013523,0.25063,3.2488
6.9963,-0.31554,6.567,3.274,0.30812,0.032104,0.2432,3.3479
7.1625,0.39682,6.721,3.373,0.13485,0.038981,0.31319,3.447
7.7801,-0.71955,6.2265,3.472,0.036647,0.054315,0.46194,3.5462
8.2736,0.053289,6.1989,3.572,0.43608,0.058164,0.54529,3.6453
6.9758,1.6177,6.2491,3.671,0.35422,0.023588,0.46446,3.7444
7.7561,0.97238,6.4151,3.77,0.18817,0.054881,0.41728,3.8436
7.2342,1.3426,6.8652,3.869,0.30062,0.030116,0.32262,3.9427
7.6181,2.0016,6.6104,3.968,-0.34616,0.014652,0.15575,4.0418
6.7234,1.8843,6.8578,4.068,-0.071266,0.008713,0.15423,4.1409
7.0611,1.0044,7.043,4.167,0.13997,0.0057905,0.20934,4.2402
7.1147,0.67105,7.0241,4.266,-0.20216,-0.021533,0.22692,4.3385
7.1006,2.1955,6.7132,4.365,-0.17353,-0.024614,-0.053258,4.4372
7.0702,3.4145,7.4114,4.464,-0.32561,-0.0062909,-0.40451,4.5365
8.5689,2.4223,6.6833,4.564,-0.53058,-0.049643,-0.64659,4.6356
8.0938,1.2396,5.7593,4.663,-0.57906,0.048341,-0.6866,4.7348
7.7534,-0.19699,6.532,4.762,-0.55946,-0.031398,-0.69129,4.8339
7.812,-0.5751,5.6217,4.861,-0.79021,-0.079287,-0.63776,4.933
